id,Name,Year,IMDB Rating,Metascore,Number of Votes
0,Goodfellas,(1990),8.7,89,818956
1,Edward Scissorhands,(1990),7.9,74,390484
2,Home Alone,(1990),7.5,63,365292
3,Back to the Future Part III,(1990),7.4,55,323850
4,The Godfather: Part III,(1990),7.6,60,301711
5,Die Hard 2,(1990),7.1,67,293336
6,Total Recall,(1990),7.5,57,261203
7,Pretty Woman,(1990),7.0,51,238033
8,Dances with Wolves,(1990),8.0,72,204601
9,Ghost,(1990),7.0,52,167088
10,The Hunt for Red October,(1990),7.6,58,154508
11,Misery,(1990),7.8,75,150755
12,Kindergarten Cop,(1990),6.1,61,117062
13,Miller's Crossing,(1990),7.8,66,111658
14,Rocky V,(1990),5.2,55,104402
15,Awakenings,(1990),7.8,74,103320
16,Tremors,(1990),7.1,65,99870
17,Jacob's Ladder,(I) (1990),7.5,62,83327
18,Flatliners,(1990),6.6,55,69751
19,Wild at Heart,(1990),7.2,52,68600
20,Days of Thunder,(1990),5.9,60,66337
21,La Femme Nikita,(1990),7.4,56,59354
22,Arachnophobia,(1990),6.4,67,54351
23,Darkman,(1990),6.4,65,51227
24,Another 48 Hrs.,(1990),5.8,23,32570
25,Presumed Innocent,(1990),6.9,72,32018
26,Joe Versus the Volcano,(1990),5.7,45,30152
27,Problem Child,(1990),5.3,27,24365
28,Mermaids,(1990),6.6,56,24208
29,Air America,(1990),5.7,33,23625
30,Pump Up the Volume,(1990),7.2,77,22975
31,The Grifters,(1990),7.0,86,22228
32,Green Card,(1990),6.2,58,19874
33,Hamlet,(1990),6.8,53,19021
34,Quick Change,(1990),6.8,56,17112
35,My Blue Heaven,(I) (1990),6.2,35,16520
36,The Adventures of Ford Fairlane,(1990),6.3,24,15339
37,Days of Being Wild,(1990),7.6,96,13773
38,Postcards from the Edge,(1990),6.7,71,13058
39,Tales from the Darkside: The Movie,(1990),6.2,54,12334
40,Reversal of Fortune,(1990),7.3,93,12302
41,I Love You to Death,(1990),6.4,45,11769
42,Cadillac Man,(1990),5.6,50,11527
43,Alice,(1990),6.6,67,11496
44,House Party,(1990),6.3,76,9516
45,The Two Jakes,(1990),6.1,56,9227
46,The Hot Spot,(1990),6.4,56,8779
47,Metropolitan,(1990),7.5,77,7921
48,Trust,(1990),7.5,67,7846
49,Graveyard Shift,(1990),4.8,28,7814
50,Life Is Sweet,(1990),7.5,88,7085
51,Don't Come Knocking,(2005),6.7,55,6744
52,Truly Madly Deeply,(1990),7.3,72,6443
53,Bad Influence,(1990),6.2,63,6148
54,Two Evil Eyes,(1990),6.1,61,4846
55,Vincent & Theo,(1990),7.1,65,3107
56,The Silence of the Lambs,(1991),8.6,85,1013153
57,Terminator 2,(1991),8.5,75,829277
58,Beauty and the Beast,(1991),8.0,95,353803
59,Hook,(1991),6.7,52,199718
60,Robin Hood: Prince of Thieves,(1991),6.9,51,156360
61,Cape Fear,(1991),7.3,73,140691
62,Point Break,(1991),7.2,58,126346
63,JFK,(1991),8.0,72,123446
64,Thelma & Louise,(1991),7.4,88,111850
65,The Addams Family,(1991),6.9,57,106811
66,Boyz n the Hood,(1991),7.8,76,104055
67,Barton Fink,(1991),7.7,69,97470
68,The Naked Gun 2½: The Smell of Fear,(1991),6.8,65,90478
69,Hot Shots!,(1991),6.7,61,86408
70,The Doors,(1991),7.2,62,73340
71,Delicatessen,(1991),7.7,66,71268
72,The Fisher King,(1991),7.6,61,68822
73,Backdraft,(1991),6.7,38,62462
74,My Girl,(1991),6.8,56,61437
75,Star Trek VI: The Undiscovered Country,(1991),7.2,65,60607
76,Father of the Bride,(1991),6.5,51,59375
77,Fried Green Tomatoes,(1991),7.7,64,56884
78,What About Bob?,(1991),7.0,60,54513
79,Bill & Ted's Bogus Journey,(1991),6.2,60,53521
80,Hudson Hawk,(1991),5.8,17,46173
81,The Rocketeer,(1991),6.4,62,46083
82,Night on Earth,(1991),7.8,68,45784
83,City Slickers,(1991),6.7,70,41878
84,My Own Private Idaho,(1991),7.1,77,40863
85,Naked Lunch,(1991),7.1,67,39815
86,The Double Life of Veronique,(1991),7.9,86,32612
87,L.A. Story,(1991),6.7,66,26588
88,New Jack City,(1991),6.6,61,26302
89,Regarding Henry,(1991),6.7,47,25456
90,Frankie and Johnny,(1991),6.7,66,24710
91,Dead Again,(1991),7.0,66,23078
92,Only Yesterday,(1991),7.7,90,16722
93,Slacker,(1991),7.1,69,16677
94,The Prince of Tides,(1991),6.7,65,13597
95,Grand Canyon,(1991),6.9,64,13382
96,Soapdish,(1991),6.5,65,12470
97,Little Man Tate,(1991),6.7,71,12336
98,High Heels,(1991),7.2,51,11192
99,Kafka,(1991),6.9,46,8448
100,F/X2,(1991),5.8,48,7352
101,Guilty by Suspicion,(1991),6.5,64,6711
102,Class Action,(1991),6.4,58,5610
103,Homicide,(1991),7.1,84,5105
104,A Brighter Summer Day,(1991),8.4,90,4296
105,A Brief History of Time,(1991),7.4,78,4260
106,Johnny Suede,(1991),5.8,53,3252
107,Reservoir Dogs,(1992),8.3,79,750575
108,Unforgiven,(1992),8.2,85,310275
109,Batman Returns,(1992),7.0,68,236113
110,Alien 3,(1992),6.4,59,235840
111,Scent of a Woman,(1992),8.0,59,213878
112,A Few Good Men,(1992),7.7,62,199241
113,Bram Stoker's Dracula,(1992),7.5,57,158889
114,Basic Instinct,(1992),6.9,41,146105
115,Army of Darkness,(1992),7.6,57,141580
116,Lethal Weapon 3,(1992),6.7,36,138081
117,The Last of the Mohicans,(1992),7.8,76,125333
118,Wayne's World,(1992),7.0,57,124098
119,The Bodyguard,(1992),6.2,39,99688
120,My Cousin Vinny,(1992),7.5,68,90010
121,Patriot Games,(1992),6.9,64,87759
122,Glengarry Glen Ross,(1992),7.8,80,83552
123,Dead Alive,(1992),7.5,54,82794
124,A League of Their Own,(1992),7.2,67,78160
125,Universal Soldier,(1992),6.0,35,73600
126,Malcolm X,(1992),7.7,72,70078
127,Twin Peaks: Fire Walk with Me,(1992),7.2,28,69207
128,Under Siege,(1992),6.5,58,66337
129,El Mariachi,(1992),6.9,73,55920
130,Far and Away,(1992),6.5,49,51560
131,The Mighty Ducks,(1992),6.5,46,48958
132,Chaplin,(1992),7.6,47,46655
133,The Player,(1992),7.6,86,45950
134,A River Runs Through It,(1992),7.3,68,45589
135,The Crying Game,(1992),7.3,90,44593
136,Buffy the Vampire Slayer,(1992),5.6,48,34642
137,Encino Man,(1992),5.7,25,32414
138,Bad Lieutenant,(1992),7.1,70,32213
139,The Lawnmower Man,(1992),5.4,42,29957
140,1492: Conquest of Paradise,(1992),6.5,47,24546
141,Howards End,(1992),7.5,89,23476
142,Boomerang,(1992),5.4,45,22016
143,Strictly Ballroom,(1992),7.2,72,21977
144,School Ties,(1992),6.9,65,19436
145,Juice,(1992),7.1,60,19222
146,Memoirs of an Invisible Man,(1992),5.9,48,18944
147,Hoffa,(1992),6.6,50,18454
148,Captain Ron,(1992),5.7,39,18152
149,Cool World,(1992),4.8,28,18016
150,Lorenzo's Oil,(1992),7.2,80,17735
151,3 Ninjas,(1992),5.2,36,17667
152,Sleepwalkers,(1992),5.2,38,16638
153,Newsies,(1992),7.0,46,16556
154,Pet Sematary II,(1992),4.8,35,14874
155,Like Water for Chocolate,(1992),7.2,86,14725
156,The Distinguished Gentleman,(1992),5.9,45,13339
157,Orlando,(1992),7.2,74,11124
158,Benny's Video,(1992),7.2,60,10866
159,Twin Dragons,(1992),6.4,54,9449
160,One False Move,(1992),7.2,87,8216
161,American Me,(1992),7.2,66,6531
162,Children of the Corn II: The Final Sacrifice,(1992),4.2,18,6431
163,Light Sleeper,(1992),6.9,70,4120
164,Night and the City,(1992),5.8,61,3954
165,Brain Donors,(1992),7.1,44,3528
166,Schindler's List,(1993),8.9,93,978212
167,Jurassic Park,(1993),8.1,68,701124
